fid,NIC,CT,Circuito,kW INSTALA,kWp INSTAL,X1,Y1,TECH,DSSName,KVA,CURVE1,CURVE2,LV_GROUP,CARGAS_BT_,CARGAS_B_1
286,8549228,153447,VOLG101,0,5.5,19.45129,-70.65245,PV,,5,Irr.txt,TEMPPV.txt,0,326535,2151596
40,5290369,153977,VOLG101,0,6.76,19.44147,-70.65234,PV,,6.145,Irr.txt,TEMPPV.txt,0,326536,2150509
266,8475955,153446,VOLG101,7.7,9.215,19.45116,-70.65243,PV,,8.377,Irr.txt,TEMPPV.txt,0,326537,2151582
264,8468717,153447,VOLG101,0,6.08,19.45155,-70.65238,PV,,5.527,Irr.txt,TEMPPV.txt,0,326543,2151625
244,8423317,153446,VOLG101,0,9.3,19.45136,-70.65237,PV,,8.455,Irr.txt,TEMPPV.txt,0,326544,2151604
85,6146861,153446,VOLG101,13.41,12,19.45148,-70.65233,PV,,10.909,Irr.txt,TEMPPV.txt,0,326548,2151617
150,6686828,224016,VOLG101,9.36,10,19.45431,-70.65234,PV,,9.091,Irr.txt,TEMPPV.txt,0,326550,2151930
253,8430107,153446,VOLG101,0,3.06,19.45156,-70.65231,PV,,2.782,Irr.txt,TEMPPV.txt,0,326550,2151626
260,8449209,153446,VOLG101,0,5.72,19.45164,-70.65228,PV,,5.2,Irr.txt,TEMPPV.txt,0,326554,2151635
147,6633837,212353,VOLG101,12,15.2,19.45332,-70.65221,PV,,13.818,Irr.txt,TEMPPV.txt,0,326563,2151821
140,6578144,224016,VOLG101,10,7.315,19.45427,-70.65218,PV,,6.65,Irr.txt,TEMPPV.txt,0,326567,2151926
209,8261411,149651,VOLG101,7,6.44,19.44264,-70.65205,PV,,5.855,Irr.txt,TEMPPV.txt,0,326568,2150638
289,8567244,153446,VOLG101,0,8.46,19.45162,-70.65193,PV,,7.691,Irr.txt,TEMPPV.txt,0,326590,2151632
270,8503136,153978,VOLG101,6,6.48,19.44117,-70.65181,PV,,5.891,Irr.txt,TEMPPV.txt,0,326592,2150475
99,6225441,220672,VOLG101,5,4.83,19.4544,-70.65192,PV,,4.391,Irr.txt,TEMPPV.txt,0,326594,2151940
135,6516069,220672,VOLG101,4.6,4.5,19.4544,-70.65192,PV,,4.091,Irr.txt,TEMPPV.txt,0,326594,2151940
248,8424490,152340,VOLG101,0,4.5,19.45097,-70.65189,PV,,4.091,Irr.txt,TEMPPV.txt,0,326594,2151560
245,8424146,152341,VOLG101,0,45.04,19.45085,-70.65188,PV,,40.945,Irr.txt,TEMPPV.txt,0,326595,2151547
338,8756823,152340,VOLG101,0,9.23,19.45118,-70.65181,PV,,8.391,Irr.txt,TEMPPV.txt,0,326602,2151583
242,8420318,153444,VOLG101,0,11.16,19.45143,-70.65174,PV,,10.145,Irr.txt,TEMPPV.txt,0,326610,2151611
247,8424316,153444,VOLG101,0,7.02,19.45131,-70.6517,PV,,6.382,Irr.txt,TEMPPV.txt,0,326614,2151598
243,8422154,152341,VOLG101,0,12.48,19.45077,-70.65168,PV,,11.345,Irr.txt,TEMPPV.txt,0,326616,2151538
383,8967322,206992,VOLG101,0,32.175,19.44798,-70.65157,PV,,29.25,Irr.txt,TEMPPV.txt,0,326624,2151229
384,8967326,206992,VOLG101,0,13.65,19.44798,-70.65157,PV,,12.409,Irr.txt,TEMPPV.txt,0,326624,2151229
17,4063003,106905,VOLG101,0,20,19.44734,-70.65154,PV,,18.182,Irr.txt,TEMPPV.txt,0,326627,2151158
54,6010260,203522,VOLG101,5,5.46,19.44677,-70.65146,PV,,4.964,Irr.txt,TEMPPV.txt,0,326634,2151095
146,6622385,152632,VOLG101,12.7,14.725,19.45316,-70.65146,PV,,13.386,Irr.txt,TEMPPV.txt,0,326641,2151802
343,8788194,207725,VOLG101,0,41.76,19.4485,-70.65136,PV,,37.964,Irr.txt,TEMPPV.txt,0,326647,2151286
70,6098580,152632,VOLG101,0,7.92,19.45296,-70.65129,PV,,7.2,Irr.txt,TEMPPV.txt,0,326659,2151780
259,8445272,164374,VOLG101,0,9.12,19.45748,-70.65116,PV,,8.291,Irr.txt,TEMPPV.txt,0,326677,2152280
378,8954196,153986,VOLG101,10,13.2,19.44236,-70.65056,PV,,12,Irr.txt,TEMPPV.txt,0,326724,2150606
